number_debris,time
1,1675209600
1,1675209800
1,1675210000
1,1675210200
1,1675210400
1,1675210600
1,1675210800
1,1675211000
1,1675211200
1,1675211400
1,1675211600
1,1675211800
1,1675212000
1,1675212200
1,1675212400
1,1675212600
1,1675212800
1,1675213000
1,1675213200
1,1675213400
1,1675213600
1,1675213800
1,1675214000
1,1675214200
1,1675214400
1,1675214600
1,1675214800
1,1675215000
1,1675215200
1,1675215400
1,1675215600
1,1675215800
1,1675216000
1,1675216200
1,1675216400
1,1675216600
1,1675216800
1,1675217000
1,1675217200
1,1675217400
1,1675217600
1,1675217800
1,1675218000
1,1675218200
1,1675218400
1,1675218600
1,1675218800
1,1675219000
1,1675219200
1,1675219400
1,1675219600
1,1675219800
1,1675220000
1,1675220200
1,1675220400
1,1675220600
1,1675220800
1,1675221000
1,1675221200
1,1675221400
1,1675221600
1,1675221800
1,1675222000
1,1675222200
1,1675222400
1,1675222600
1,1675222800
1,1675223000
1,1675223200
1,1675223400
1,1675223600
1,1675223800
1,1675224000
1,1675224200
1,1675224400
1,1675224600
1,1675224800
1,1675225000
1,1675225200
1,1675225400
1,1675225600
1,1675225800
1,1675226000
1,1675226200
1,1675226400
1,1675226600
1,1675226800
1,1675227000
1,1675227200
1,1675227400
1,1675227600
1,1675227800
1,1675228000
1,1675228200
1,1675228400
1,1675228600
1,1675228800
1,1675229000
1,1675229200
1,1675229400
1,1675229600
1,1675229800
1,1675230000
1,1675230200
1,1675230400
1,1675230600
1,1675230800
1,1675231000
1,1675231200
1,1675231400
1,1675231600
1,1675231800
1,1675232000
1,1675232200
1,1675232400
1,1675232600
1,1675232800
1,1675233000
1,1675233200
1,1675233400
1,1675233600
1,1675233800
1,1675234000
1,1675234200
1,1675234400
1,1675234600
1,1675234800
1,1675235000
1,1675235200
1,1675235400
1,1675235600
1,1675235800
1,1675236000
1,1675236200
1,1675236400
1,1675236600
1,1675236800
1,1675237000
1,1675237200
1,1675237400
1,1675237600
1,1675237800
1,1675238000
1,1675238200
1,1675238400
1,1675238600
1,1675238800
1,1675239000
1,1675239200
1,1675239400
1,1675239600
1,1675239800
1,1675240000
1,1675240200
1,1675240400
1,1675240600
1,1675240800
1,1675241000
1,1675241200
1,1675241400
1,1675241600
1,1675241800
1,1675242000
1,1675242200
1,1675242400
1,1675242600
1,1675242800
1,1675243000
1,1675243200
1,1675243400
1,1675243600
1,1675243800
1,1675244000
1,1675244200
1,1675244400
1,1675244600
1,1675244800
1,1675245000
1,1675245200
1,1675245400
1,1675245600
1,1675245800
1,1675246000
1,1675246200
1,1675246400
1,1675246600
1,1675246800
1,1675247000
1,1675247200
1,1675247400
1,1675247600
1,1675247800
1,1675248000
1,1675248200
1,1675248400
1,1675248600
1,1675248800
1,1675249000
1,1675249200
1,1675249400
1,1675249600
1,1675249800
1,1675250000
1,1675250200
1,1675250400
1,1675250600
1,1675250800
1,1675251000
1,1675251200
1,1675251400
1,1675251600
1,1675251800
1,1675252000
1,1675252200
1,1675252400
1,1675252600
1,1675252800
1,1675253000
1,1675253200
1,1675253400
1,1675253600
1,1675253800
1,1675254000
1,1675254200
1,1675254400
1,1675254600
1,1675254800
1,1675255000
1,1675255200
1,1675255400
1,1675255600
1,1675255800
1,1675256000
1,1675256200
1,1675256400
1,1675256600
1,1675256800
1,1675257000
1,1675257200
1,1675257400
1,1675257600
1,1675257800
1,1675258000
1,1675258200
1,1675258400
1,1675258600
1,1675258800
1,1675259000
1,1675259200
1,1675259400
1,1675259600
1,1675259800
1,1675260000
1,1675260200
1,1675260400
1,1675260600
1,1675260800
1,1675261000
1,1675261200
1,1675261400
1,1675261600
1,1675261800
1,1675262000
1,1675262200
1,1675262400
1,1675262600
1,1675262800
1,1675263000
1,1675263200
1,1675263400
1,1675263600
1,1675263800
1,1675264000
1,1675264200
1,1675264400
1,1675264600
1,1675264800
1,1675265000
1,1675265200
1,1675265400
1,1675265600
1,1675265800
1,1675266000
1,1675266200
1,1675266400
1,1675266600
1,1675266800
1,1675267000
1,1675267200
1,1675267400
1,1675267600
1,1675267800
1,1675268000
1,1675268200
1,1675268400
1,1675268600
1,1675268800
1,1675269000
1,1675269200
1,1675269400
1,1675269600
1,1675269800
1,1675270000
1,1675270200
1,1675270400
1,1675270600
1,1675270800
1,1675271000
1,1675271200
1,1675271400
1,1675271600
1,1675271800
1,1675272000
1,1675272200
1,1675272400
1,1675272600
1,1675272800
1,1675273000
1,1675273200
1,1675273400
1,1675273600
1,1675273800
1,1675274000
1,1675274200
1,1675274400
1,1675274600
1,1675274800
1,1675275000
1,1675275200
1,1675275400
1,1675275600
1,1675275800
1,1675276000
1,1675276200
1,1675276400
1,1675276600
1,1675276800
1,1675277000
1,1675277200
1,1675277400
1,1675277600
1,1675277800
1,1675278000
1,1675278200
1,1675278400
1,1675278600
1,1675278800
1,1675279000
1,1675279200
1,1675279400
1,1675279600
1,1675279800
1,1675280000
1,1675280200
1,1675280400
1,1675280600
1,1675280800
1,1675281000
1,1675281200
1,1675281400
1,1675281600
1,1675281800
1,1675282000
1,1675282200
1,1675282400
1,1675282600
1,1675282800
1,1675283000
1,1675283200
1,1675283400
1,1675283600
1,1675283800
1,1675284000
1,1675284200
1,1675284400
1,1675284600
1,1675284800
1,1675285000
1,1675285200
1,1675285400
1,1675285600
1,1675285800
1,1675286000
1,1675286200
1,1675286400
1,1675286600
1,1675286800
1,1675287000
1,1675287200
1,1675287400
1,1675287600
1,1675287800
1,1675288000
1,1675288200
1,1675288400
1,1675288600
1,1675288800
1,1675289000
1,1675289200
1,1675289400
1,1675289600
1,1675289800
1,1675290000
1,1675290200
1,1675290400
1,1675290600
1,1675290800
1,1675291000
1,1675291200
1,1675291400
1,1675291600
1,1675291800
1,1675292000
1,1675292200
1,1675292400
1,1675292600
1,1675292800
1,1675293000
1,1675293200
1,1675293400
1,1675293600
1,1675293800
1,1675294000
1,1675294200
1,1675294400
1,1675294600
1,1675294800
1,1675295000
1,1675295200
1,1675295400
1,1675295600
1,1675295800
1,1675296000
1,1675296200
1,1675296400
1,1675296600
1,1675296800
1,1675297000
1,1675297200
1,1675297400
1,1675297600
1,1675297800
1,1675298000
1,1675298200
1,1675298400
1,1675298600
1,1675298800
1,1675299000
1,1675299200
1,1675299400
1,1675299600
1,1675299800
1,1675300000
1,1675300200
1,1675300400
1,1675300600
1,1675300800
1,1675301000
1,1675301200
1,1675301400
1,1675301600
1,1675301800
1,1675302000
1,1675302200
1,1675302400
1,1675302600
1,1675302800
1,1675303000
1,1675303200
1,1675303400
1,1675303600
1,1675303800
1,1675304000
1,1675304200
1,1675304400
1,1675304600
1,1675304800
1,1675305000
1,1675305200
1,1675305400
1,1675305600
1,1675305800
1,1675306000
1,1675306200
1,1675306400
1,1675306600
1,1675306800
1,1675307000
1,1675307200
1,1675307400
1,1675307600
1,1675307800
1,1675308000
1,1675308200
1,1675308400
1,1675308600
1,1675308800
1,1675309000
1,1675309200
1,1675309400
